r.spider	spider
r.comedy	comedy
r.church	church
r.soothe	soothe
r.spirit	spirit
r.window	window
r.fungus	fungus
r.solemn	solemn
r.sinful	sinful
r.spouse	spouse
r.dollar	dollar
r.dinner	dinner
r.clouds	clouds
r.runner	runner
r.bullet	bullet
r.wounds	wounds
r.smooth	smooth
r.clumsy	clumsy
r.bloody	bloody
r.guilty	guilty
r.couple	couple
r.violin	violin
r.column	column
r.leader	leader
r.nectar	nectar
r.letter	letter
r.hatred	hatred
r.orgasm	orgasm
r.pretty	pretty
r.heaven	heaven
r.legend	legend
r.patent	patent
r.kettle	kettle
r.icebox	icebox
r.needle	needle
r.offend	offend
r.maggot	maggot
r.useful	useful
r.person	person
r.nature	nature
r.market	market
r.office	office
r.health	health
r.lavish	lavish
r.madman	madman
r.method	method
r.heroin	heroin
r.palace	palace
r.priest	priest
r.menace	menace
r.mantel	mantel
r.profit	profit
r.mangle	mangle
r.pencil	pencil
r.prison	prison
r.manner	manner
r.hammer	hammer
r.maniac	maniac
r.manure	manure
r.malice	malice
r.melody	melody
r.memory	memory
r.people	people
r.yellow	yellow
r.invest	invest
r.modest	modest
r.poster	poster
r.insect	insect
r.kitten	kitten
r.poetry	poetry
r.misery	misery
r.infant	infant
r.mystic	mystic
r.morbid	morbid
r.insane	insane
r.horror	horror
r.putrid	putrid
r.morgue	morgue
r.lively	lively
r.muffin	muffin
r.museum	museum
r.pistol	pistol
r.mother	mother
r.locker	locker
r.luxury	luxury
r.mighty	mighty
r.insult	insult
r.option	option
r.python	python
r.honest	honest
r.limber	limber
r.hinder	hinder
r.mildew	mildew
r.hungry	hungry
r.humane	humane
r.humble	humble
r.moment	moment
r.impair	impair
r.joyful	joyful
r.lonely	lonely
r.poison	poison
r.hooker	hooker
r.killer	killer
r.injury	injury
r.pillow	pillow
r.nipple	nipple
r.bastard	bastard
r.carcass	carcass
r.garbage	garbage
r.ecstasy	ecstasy
r.tragedy	tragedy
r.freedom	freedom
r.destroy	destroy
r.fearful	fearful
r.festive	festive
r.teacher	teacher
r.seasick	seasick
r.wedding	wedding
r.assault	assault
r.respect	respect
r.devoted	devoted
r.grenade	grenade
r.scandal	scandal
r.radiant	radiant
r.bathtub	bathtub
r.garment	garment
r.defiant	defiant
r.traitor	traitor
r.wealthy	wealthy
r.cabinet	cabinet
r.termite	termite
r.despise	despise
r.serious	serious
r.relaxed	relaxed
r.bandage	bandage
r.fantasy	fantasy
r.capable	capable
r.brother	brother
r.dentist	dentist
r.delayed	delayed
r.crushed	crushed
r.selfish	selfish
r.crucify	crucify
r.reptile	reptile
r.aroused	aroused
r.admired	admired
r.stomach	stomach
r.delight	delight
r.rainbow	rainbow
r.vehicle	vehicle
r.trouble	trouble
r.scholar	scholar
r.swimmer	swimmer
r.trumpet	trumpet
r.vampire	vampire
r.failure	failure
r.agility	agility
r.triumph	triumph
r.reunion	reunion
r.success	success
r.engaged	engaged
r.cottage	cottage
r.enraged	enraged
r.tobacco	tobacco
r.quarrel	quarrel
r.surgery	surgery
r.elegant	elegant
r.glacier	glacier
r.subdued	subdued
r.disturb	disturb
r.torture	torture
r.victory	victory
r.dustpan	dustpan
r.corrupt	corrupt
r.divorce	divorce
r.tornado	tornado
r.quality	quality
r.diamond	diamond
r.glamour	glamour
r.curious	curious
r.anxious	anxious
r.cyclone	cyclone
r.context	context
r.blubber	blubber
r.blister	blister
r.allergy	allergy
r.funeral	funeral
r.snuggle	snuggle
r.whistle	whistle
r.blossom	blossom
r.volcano	volcano
r.shotgun	shotgun
r.sunrise	sunrise
r.comfort	comfort
r.bouquet	bouquet
r.suicide	suicide
r.cuisine	cuisine
r.gymnast	gymnast
r.village	village
r.thought	thought
r.violent	violent
r.diploma	diploma
r.skijump	skijump
r.alimony	alimony
r.passage	passage
r.pervert	pervert
r.present	present
r.obscene	obscene
r.measles	measles
r.lesbian	lesbian
r.obesity	obesity
r.perfume	perfume
r.patriot	patriot
r.lawsuit	lawsuit
r.nervous	nervous
r.passion	passion
r.ketchup	ketchup
r.neglect	neglect
r.useless	useless
r.magical	magical
r.natural	natural
r.prairie	prairie
r.patient	patient
r.utensil	utensil
r.machine	machine
r.privacy	privacy
r.lantern	lantern
r.malaria	malaria
r.penalty	penalty
r.leprosy	leprosy
r.hairpin	hairpin
r.outrage	outrage
r.invader	invader
r.hostage	hostage
r.liberty	liberty
r.lottery	lottery
r.nursery	nursery
r.poverty	poverty
r.miracle	miracle
r.hydrant	hydrant
r.mistake	mistake
r.justice	justice
r.history	history
r.imagine	imagine
r.hostile	hostile
r.highway	highway
r.inspire	inspire
r.pungent	pungent
r.hopeful	hopeful
r.improve	improve
r.nourish	nourish
r.journal	journal
r.unhappy	unhappy
r.illness	illness
r.holiday	holiday
r.immoral	immoral
r.pollute	pollute
r.opinion	opinion
r.carefree	carefree
r.beverage	beverage
r.reserved	reserved
r.deserter	deserter
r.defeated	defeated
r.reverent	reverent
r.grateful	grateful
r.assassin	assassin
r.dreadful	dreadful
r.treasure	treasure
r.exercise	exercise
r.startled	startled
r.detached	detached
r.starving	starving
r.vacation	vacation
r.graduate	graduate
r.terrific	terrific
r.stagnant	stagnant
r.terrible	terrible
r.derelict	derelict
r.decorate	decorate
r.activate	activate
r.addicted	addicted
r.radiator	radiator
r.arrogant	arrogant
r.accident	accident
r.fatigued	fatigued
r.deformed	deformed
r.scalding	scalding
r.bathroom	bathroom
r.revolver	revolver
r.rejected	rejected
r.cemetery	cemetery
r.adorable	adorable
r.gangrene	gangrene
r.scissors	scissors
r.abortion	abortion
r.friendly	friendly
r.scornful	scornful
r.scorpion	scorpion
r.sailboat	sailboat
r.troubled	troubled
r.bankrupt	bankrupt
r.twilight	twilight
r.daylight	daylight
r.sapphire	sapphire
r.criminal	criminal
r.disaster	disaster
r.elevator	elevator
r.burdened	burdened
r.curtains	curtains
r.birthday	birthday
r.corridor	corridor
r.busybody	busybody
r.vigorous	vigorous
r.ridicule	ridicule
r.ambition	ambition
r.sickness	sickness
r.thankful	thankful
r.disloyal	disloyal
r.spanking	spanking
r.smallpox	smallpox
r.champion	champion
r.contents	contents
r.contempt	contempt
r.confused	confused
r.romantic	romantic
r.consoled	consoled
r.clothing	clothing
r.windmill	windmill
r.applause	applause
r.building	building
r.computer	computer
r.sunlight	sunlight
r.syphilis	syphilis
r.overcast	overcast
r.massacre	massacre
r.headache	headache
r.paradise	paradise
r.prestige	prestige
r.pressure	pressure
r.material	material
r.hardship	hardship
r.narcotic	narcotic
r.kerchief	kerchief
r.irritate	irritate
r.kerosene	kerosene
r.identity	identity
r.medicine	medicine
r.jealousy	jealousy
r.progress	progress
r.pancakes	pancakes
r.handsome	handsome
r.laughter	laughter
r.handicap	handicap
r.neurotic	neurotic
r.memories	memories
r.helpless	helpless
r.pamphlet	pamphlet
r.interest	interest
r.murderer	murderer
r.powerful	powerful
r.pleasure	pleasure
r.insecure	insecure
r.umbrella	umbrella
r.inferior	inferior
r.mutation	mutation
r.listless	listless
r.intruder	intruder
r.outdoors	outdoors
r.muscular	muscular
r.mischief	mischief
r.mosquito	mosquito
r.luscious	luscious
r.industry	industry
r.mushroom	mushroom
r.intimate	intimate
r.inspired	inspired
r.mutilate	mutilate
r.hospital	hospital
r.insolent	insolent
r.optimism	optimism
r.mobility	mobility
r.nonsense	nonsense
r.immature	immature
r.nuisance	nuisance
r.kindness	kindness
r.innocent	innocent
r.impotent	impotent
r.mountain	mountain
r.waterfall	waterfall
r.regretful	regretful
r.fragrance	fragrance
r.affection	affection
r.agreement	agreement
r.advantage	advantage
r.adventure	adventure
r.terrified	terrified
r.terrorist	terrorist
r.execution	execution
r.fascinate	fascinate
r.astronaut	astronaut
r.satisfied	satisfied
r.scapegoat	scapegoat
r.abduction	abduction
r.avalanche	avalanche
r.beautiful	beautiful
r.easygoing	easygoing
r.decompose	decompose
r.depressed	depressed
r.education	education
r.scorching	scorching
r.repentant	repentant
r.valentine	valentine
r.sentiment	sentiment
r.athletics	athletics
r.abundance	abundance
r.butterfly	butterfly
r.embattled	embattled
r.fireworks	fireworks
r.disgusted	disgusted
r.suffocate	suffocate
r.blasphemy	blasphemy
r.blackmail	blackmail
r.sheltered	sheltered
r.christmas	christmas
r.surprised	surprised
r.slaughter	slaughter
r.skeptical	skeptical
r.cockroach	cockroach
r.dignified	dignified
r.ambulance	ambulance
r.anguished	anguished
r.alcoholic	alcoholic
r.confident	confident
r.toothache	toothache
r.chocolate	chocolate
r.appliance	appliance
r.enjoyment	enjoyment
r.masterful	masterful
r.obsession	obsession
r.headlight	headlight
r.paralysis	paralysis
r.orchestra	orchestra
r.protected	protected
r.hairdryer	hairdryer
r.hamburger	hamburger
r.leisurely	leisurely
r.penthouse	penthouse
r.haphazard	haphazard
r.ignorance	ignorance
r.obnoxious	obnoxious
r.promotion	promotion
r.infection	infection
r.hurricane	hurricane
r.incentive	incentive
r.intellect	intellect
r.lightbulb	lightbulb
r.nightmare	nightmare
r.lightning	lightning
r.impressed	impressed
r.knowledge	knowledge
r.humiliate	humiliate
r.aggressive	aggressive
r.sweetheart	sweetheart
r.restaurant	restaurant
r.acceptance	acceptance
r.excellence	excellence
r.respectful	respectful
r.excitement	excitement
r.despairing	despairing
r.astonished	astonished
r.frustrated	frustrated
r.depression	depression
r.triumphant	triumphant
r.distressed	distressed
r.disdainful	disdainful
r.discomfort	discomfort
r.disappoint	disappoint
r.displeased	displeased
r.suspicious	suspicious
r.skyscraper	skyscraper
r.thoughtful	thoughtful
r.guillotine	guillotine
r.employment	employment
r.perfection	perfection
r.masturbate	masturbate
r.unfaithful	unfaithful
r.untroubled	untroubled
r.lighthouse	lighthouse
r.inhabitant	inhabitant
r.nonchalant	nonchalant
r.loneliness	loneliness
r.politeness	politeness
r.punishment	punishment
r.bereavement	bereavement
r.refreshment	refreshment
r.destruction	destruction
r.achievement	achievement
r.embarrassed	embarrassed
r.discouraged	discouraged
r.thermometer	thermometer
r.concentrate	concentrate
r.controlling	controlling
r.overwhelmed	overwhelmed
r.outstanding	outstanding
r.intercourse	intercourse
r.infatuation	infatuation
r.indifferent	indifferent
r.millionaire	millionaire
r.rollercoaster	rollercoaster
f.bague	bague
f.bashe	bashe
f.bave	bave
f.beeg	beeg
f.beesh	beesh
f.beeve	beeve
f.blabe	blabe
f.blafe	blafe
f.blage	blage
f.blague	blague
f.blale	blale
f.blashe	blashe
f.blathe	blathe
f.blave	blave
f.bleeb	bleeb
f.bleef	bleef
