"Word Type","Model","Predictor","Estimate","SE","df","t","p"
"Real","High Finger Switch, Low Hand Switch","lowlrswitch:rha","-0.0184226848865147","0.00548859589492735","35670","-3.35653876495831","0.000790070441401734"
"Real","High Finger Switch, Low Hand Switch","highfingerswitch:rha","0.0189029178354305","0.00463192894022651","35670","4.08100341766169","4.49392043614884e-05"
"Real","High Finger Switch, Low Hand Switch","speed:lowlrswitch:highfingerswitch","-0.00090965064594502","0.000347480770299712","35670","-2.61784456492491","0.00885244667639564"
"Real","High Finger Switch, Low Hand Switch","speed:lowlrswitch:rha","-7.86090407454544e-05","0.000410534280934584","35670","-0.19147984564529","0.84815075911504"
"Real","High Finger Switch, Low Hand Switch","speed:highfingerswitch:rha","6.14645341015887e-05","0.000339764400197271","35670","0.180903396782893","0.856444430379074"
"Real","High Finger Switch, Low Hand Switch","lowlrswitch:highfingerswitch:rha","-0.0093104475644019","0.00186239890852411","35670","-4.99916936258309","5.78502448978174e-07"
"Real","High Finger Switch, Low Hand Switch","speed:lowlrswitch:highfingerswitch:rha","-9.08541241310274e-05","0.000138239171013836","35670","-0.657224167829637","0.511041028444158"
"Real","High Finger Switch, High Hand Switch","(Intercept)","4.62928178579647","0.073246649578226","35670","63.201276951958","0"
"Real","High Finger Switch, High Hand Switch","letterfreq","0.112627318025635","0.0109626782840339","35670","10.2737045736045","1.00230141358703e-24"
"Real","High Finger Switch, High Hand Switch","speed","0.00183239826549238","0.00255410109760045","604","0.717433725397126","0.473383878672483"
"Real","High Finger Switch, High Hand Switch","highlrswitch","0.054149281426206","0.0144920808290304","35670","3.73647387597608","0.000186909624615114"
"Real","High Finger Switch, High Hand Switch","highfingerswitch","-0.0799528824235991","0.0121252732910398","35670","-6.59390353557488","4.34381483811606e-11"
"Real","High Finger Switch, High Hand Switch","rha","0.0484502581695687","0.0102965568949624","35670","4.70548151812505","2.54216375381743e-06"
"Real","High Finger Switch, High Hand Switch","speed:highlrswitch","-0.00278465066890621","0.0010837840233353","35670","-2.56937785476536","0.0101921555123501"
"Real","High Finger Switch, High Hand Switch","speed:highfingerswitch","0.00113277852488249","0.000891059269146325","35670","1.27127180436352","0.203640259050167"
"Real","High Finger Switch, High Hand Switch","highlrswitch:highfingerswitch","0.0068929594028043","0.00459738422814312","35670","1.49932201894475","0.133798962766889"
"Real","High Finger Switch, High Hand Switch","speed:rha","0.00014688003235587","0.000748974946468445","35670","0.19610807150284","0.844526695925443"
"Real","High Finger Switch, High Hand Switch","highlrswitch:rha","-0.0184226848865148","0.00548859589492735","35670","-3.35653876495833","0.000790070441401676"
"Real","High Finger Switch, High Hand Switch","highfingerswitch:rha","-0.00742239138071547","0.00521073239188002","35670","-1.42444301923505","0.154327016932881"
"Real","High Finger Switch, High Hand Switch","speed:highlrswitch:highfingerswitch","-0.000909650645945021","0.000347480770299712","35670","-2.61784456492491","0.00885244667639553"
"Real","High Finger Switch, High Hand Switch","speed:highlrswitch:rha","-7.86090407454584e-05","0.000410534280934585","35670","-0.1914798456453","0.848150759115033"
"Real","High Finger Switch, High Hand Switch","speed:highfingerswitch:rha","-0.000195425684630352","0.000387303347969082","35670","-0.504580416500692","0.613856684348508"
"Real","High Finger Switch, High Hand Switch","highlrswitch:highfingerswitch:rha","-0.00931044756440193","0.00186239890852411","35670","-4.99916936258311","5.78502448978115e-07"
"Real","High Finger Switch, High Hand Switch","speed:highlrswitch:highfingerswitch:rha","-9.08541241310307e-05","0.000138239171013836","35670","-0.657224167829661","0.511041028444143"
