date,time,code,partno,rating,hand,speed,error,trial,trialcode,realfake,lrswitch,fingerswitch,letterfreq,length,rha
42413,9:56,654,424130.4139,9,right,45,97,7voop,voop,fake,1,2,4.48025,4,2
42413,9:56,654,424130.4139,7,right,45,97,10pluk,pluk,fake,0,3,2.371,4,4
42413,9:56,654,424130.4139,9,right,45,97,14obey,obey,real,2,3,5.91875,4,0
42413,9:56,654,424130.4139,9,right,45,97,8wac,wac,fake,0,2,4.436333333,3,-3
42413,9:56,654,424130.4139,9,right,45,97,15bath,bath,real,1,3,6.20225,4,-2
42413,9:56,654,424130.4139,5,right,45,97,3leel,leel,fake,2,2,8.3635,4,0
42413,9:56,654,424130.4139,5,right,45,97,24aqil,aqil,fake,1,2,4.81325,4,0
42413,9:56,654,424130.4139,5,right,45,97,11nilo,nilo,fake,0,2,6.31175,4,4
42413,9:56,654,424130.4139,2,right,45,97,13nude,nude,real,1,1,6.6155,4,0
42413,9:56,654,424130.4139,9,right,45,97,7soog,soog,fake,2,2,5.839,4,0
42413,9:56,654,424130.4139,9,right,45,97,15cute,cute,real,2,3,6.8245,4,-2
42413,9:56,654,424130.4139,5,right,45,97,20eat,eat,real,0,2,9.975,3,-3
42413,9:56,654,424130.4139,1,right,45,97,9zabe,zabe,fake,0,2,5.60875,4,-4
42413,9:56,654,424130.4139,9,right,45,97,15baby,baby,real,1,3,3.28125,4,-2
42413,9:56,654,424130.4139,1,right,45,97,9zafe,zafe,fake,0,2,5.79275,4,-4
42413,9:56,654,424130.4139,5,right,45,97,17bowl,bowl,real,3,3,3.846,4,0
42413,9:56,654,424130.4139,5,right,45,97,22pom,pom,real,0,2,3.947333333,3,3
42413,9:56,654,424130.4139,9,right,45,97,11joom,joom,fake,0,2,4.39325,4,4
42413,9:56,654,424130.4139,5,right,45,97,24kige,kige,fake,1,2,5.61375,4,0
42413,9:56,654,424130.4139,5,right,45,97,2kabe,kabe,fake,1,3,5.78325,4,-2
42413,9:56,654,424130.4139,9,right,45,97,20seat,seat,real,0,3,9.063,4,-4
