word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
rye,5.45,2,2,-1,3,6.887666667,-1.056199305,-3.521364426,0.083357474
sir,5.45,2,2,-1,3,6.426666667,-1.056199305,-3.521364426,0.083357474
sit,5.82,2,2,-1,3,7.449666667,-1.056199305,-3.521364426,0.083357474
six,4.85,2,2,-1,3,4.481,-1.056199305,-3.521364426,0.083357474
ska,4.57,2,2,-1,3,5.088666667,-1.056199305,-3.521364426,0.083357474
sob,2.65,2,2,-1,3,5.108666667,-1.056199305,-3.521364426,0.083357474
sod,4.85,2,2,-1,3,6.029,-1.056199305,-3.521364426,0.083357474
sow,5.11,2,2,-1,3,5.398,-1.056199305,-3.521364426,0.083357474
spa,7.38,2,2,-1,3,5.474333333,-1.056199305,-3.521364426,0.083357474
sub,5,2,2,-1,3,3.525666667,-1.056199305,-3.521364426,0.083357474
sue,2.18,2,2,-1,3,7.262333333,-1.056199305,-3.521364426,0.083357474
suv,4.75,2,2,-1,3,3.354333333,-1.056199305,-3.521364426,0.083357474
tic,4.24,2,2,-1,3,6.268,-1.056199305,-3.521364426,0.083357474
tie,5.33,2,2,-1,3,9.574666667,-1.056199305,-3.521364426,0.083357474
tit,5.76,2,2,-1,3,8.359333333,-1.056199305,-3.521364426,0.083357474
toe,5.24,2,2,-1,3,9.755,-1.056199305,-3.521364426,0.083357474
tot,6.36,2,2,-1,3,8.539666667,-1.056199305,-3.521364426,0.083357474
tow,5.38,2,2,-1,3,6.307666667,-1.056199305,-3.521364426,0.083357474
tub,6.1,2,2,-1,3,4.435333333,-1.056199305,-3.521364426,0.083357474
tug,4.47,2,2,-1,3,4.609666667,-1.056199305,-3.521364426,0.083357474
tux,5.91,2,2,-1,3,3.988,-1.056199305,-3.521364426,0.083357474
vow,6.6,2,2,-1,3,3.615,-1.056199305,-3.521364426,0.083357474
wig,4.48,2,2,-1,3,3.780333333,-1.056199305,-3.521364426,0.083357474
wit,7.25,2,2,-1,3,6.127333333,-1.056199305,-3.521364426,0.083357474
wiz,6.1,2,2,-1,3,3.133333333,-1.056199305,-3.521364426,0.083357474
woe,3.38,2,2,-1,3,7.523,-1.056199305,-3.521364426,0.083357474
zit,3.3,2,2,-1,3,5.365333333,-1.056199305,-3.521364426,0.083357474
hag,2.32,1,2,-1,3,5.425333333,-2.056199305,-3.521364426,0.083357474
hat,5.69,1,2,-1,3,7.772333333,-2.056199305,-3.521364426,0.083357474
haw,4.35,1,2,-1,3,5.540333333,-2.056199305,-3.521364426,0.083357474
hex,2.47,1,2,-1,3,6.315333333,-2.056199305,-3.521364426,0.083357474
ice,6.06,1,1,-1,3,7.483333333,-2.056199305,-4.521364426,0.083357474
jab,3.81,1,2,-1,3,3.270666667,-2.056199305,-3.521364426,0.083357474
jar,5.71,1,2,-1,3,4.769,-2.056199305,-3.521364426,0.083357474
jaw,4.41,1,2,-1,3,3.56,-2.056199305,-3.521364426,0.083357474
jet,6.74,1,2,-1,3,7.303666667,-2.056199305,-3.521364426,0.083357474
keg,5.65,1,2,-1,3,5.163,-2.056199305,-3.521364426,0.083357474
lab,4.57,1,2,-1,3,4.561333333,-2.056199305,-3.521364426,0.083357474
lad,6.19,1,2,-1,3,5.481666667,-2.056199305,-3.521364426,0.083357474
lag,3.9,1,2,-1,3,4.735666667,-2.056199305,-3.521364426,0.083357474
law,4.55,1,2,-1,3,4.850666667,-2.056199305,-3.521364426,0.083357474
lax,4.43,1,2,-1,3,4.114,-2.056199305,-3.521364426,0.083357474
leg,6.22,1,2,-1,3,6.247333333,-2.056199305,-3.521364426,0.083357474
let,5.95,1,2,-1,3,8.594333333,-2.056199305,-3.521364426,0.083357474
mad,2.47,1,2,-1,3,4.942,-2.056199305,-3.521364426,0.083357474
mar,3.47,1,2,-1,3,5.52,-2.056199305,-3.521364426,0.083357474
mat,5,1,2,-1,3,6.543,-2.056199305,-3.521364426,0.083357474
med,5,1,1,-1,3,6.453666667,-2.056199305,-4.521364426,0.083357474
mew,6.05,1,2,-1,3,5.822666667,-2.056199305,-3.521364426,0.083357474
nab,3.65,1,2,-1,3,5.469333333,-2.056199305,-3.521364426,0.083357474
nag,2.3,1,2,-1,3,5.643666667,-2.056199305,-3.521364426,0.083357474
net,5,1,2,-1,3,9.502333333,-2.056199305,-3.521364426,0.083357474
new,7.68,1,2,-1,3,7.270333333,-2.056199305,-3.521364426,0.083357474
oaf,3.5,1,2,-1,3,5.967333333,-2.056199305,-3.521364426,0.083357474
oar,5.15,1,2,-1,3,7.220333333,-2.056199305,-3.521364426,0.083357474
oat,5.67,1,2,-1,3,8.243333333,-2.056199305,-3.521364426,0.083357474
odd,4.56,1,1,-1,3,5.337666667,-2.056199305,-4.521364426,0.083357474
ode,5.75,1,1,-1,3,8.154,-2.056199305,-4.521364426,0.083357474
orb,5,1,1,-1,3,4.995333333,-2.056199305,-4.521364426,0.083357474
ore,5.78,1,2,-1,3,8.732,-2.056199305,-3.521364426,0.083357474
owe,3.56,1,2,-1,3,7.523,-2.056199305,-3.521364426,0.083357474
pad,5.14,1,2,-1,3,4.783,-2.056199305,-3.521364426,0.083357474
par,4.85,1,2,-1,3,5.361,-2.056199305,-3.521364426,0.083357474
paw,5.43,1,2,-1,3,4.152,-2.056199305,-3.521364426,0.083357474
pea,6,1,2,-1,3,7.599333333,-2.056199305,-3.521364426,0.083357474
pee,4.5,1,1,-1,3,9.111,-2.056199305,-4.521364426,0.083357474
pet,7.05,1,2,-1,3,7.895666667,-2.056199305,-3.521364426,0.083357474
pew,5.38,1,2,-1,3,5.663666667,-2.056199305,-3.521364426,0.083357474
use,5.18,1,2,-1,3,7.262333333,-2.056199305,-3.521364426,0.083357474
aim,5.95,1,2,1,3,5.846333333,-2.056199305,-3.521364426,2.083357474
amp,5.79,1,2,1,3,4.167333333,-2.056199305,-3.521364426,2.083357474
bin,4.95,1,2,1,3,5.069,-2.056199305,-3.521364426,2.083357474
bio,5.2,1,2,1,3,5.321666667,-2.056199305,-3.521364426,2.083357474
bop,5.63,1,2,1,3,3.642666667,-2.056199305,-3.521364426,2.083357474
boy,5.84,1,2,1,3,3.657666667,-2.056199305,-3.521364426,2.083357474
