word,happiness_average,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
advocates,6.18,2,8,-7,9,6.659888889,-0.515839387,3.379237288,-5.873890234
aesthetic,6.21,4,8,-5,9,8.205777778,1.484160613,3.379237288,-3.873890234
af,4.76,0,1,-2,2,5.1975,-2.515839387,-3.620762712,-0.873890234
affair,4.02,2,4,-4,6,5.623833333,-0.515839387,-0.620762712,-2.873890234
affairs,4.7,2,5,-5,7,5.724285714,-0.515839387,0.379237288,-3.873890234
affect,4.92,0,3,-6,6,6.193833333,-2.515839387,-1.620762712,-4.873890234
affected,4.3,0,4,-8,8,6.76475,-2.515839387,-0.620762712,-6.873890234
affecting,5.31,2,6,-5,9,5.877,-0.515839387,1.379237288,-3.873890234
affection,7.53,1,6,-3,9,6.487222222,-1.515839387,1.379237288,-1.873890234
affiliate,5.68,2,7,-3,9,6.722777778,-0.515839387,2.379237288,-1.873890234
affiliation,5.72,3,9,1,11,6.275,0.484160613,4.379237288,2.126109766
afford,6.16,2,4,-4,6,5.061666667,-0.515839387,-0.620762712,-2.873890234
afghanistan,3.56,5,9,-3,11,6.425909091,2.484160613,4.379237288,-1.873890234
afraid,2.66,2,4,-4,6,5.961333333,-0.515839387,-0.620762712,-2.873890234
africa,5.26,2,4,-4,6,5.716166667,-0.515839387,-0.620762712,-2.873890234
african,5.66,3,5,-3,7,5.863714286,0.484160613,0.379237288,-1.873890234
after,5.08,0,3,-5,5,7.628,-2.515839387,-1.620762712,-3.873890234
afternoon,5.98,1,6,-1,9,7.405777778,-1.515839387,1.379237288,0.126109766
afterward,5.22,0,7,-9,9,6.545222222,-2.515839387,2.379237288,-7.873890234
afterwards,5.76,0,8,-10,10,6.5234,-2.515839387,3.379237288,-8.873890234
again,5.42,1,4,-1,5,6.4128,-1.515839387,-0.620762712,0.126109766
against,3.4,2,6,-3,7,6.778142857,-0.515839387,1.379237288,-1.873890234
age,4.88,0,2,-3,3,7.628,-2.515839387,-2.620762712,-1.873890234
aged,4.28,0,2,-4,4,6.78425,-2.515839387,-2.620762712,-2.873890234
agencies,4.92,4,7,-4,8,7.30125,1.484160613,2.379237288,-2.873890234
agency,5.26,3,5,-2,6,5.7315,0.484160613,0.379237288,-0.873890234
agenda,4.94,2,5,-4,6,7.008833333,-0.515839387,0.379237288,-2.873890234
agent,5.08,2,4,-3,5,7.7378,-0.515839387,-0.620762712,-1.873890234
agents,5,2,5,-4,6,7.502666667,-0.515839387,0.379237288,-2.873890234
ages,4.5,0,3,-4,4,7.30275,-2.515839387,-1.620762712,-2.873890234
aggressive,3.8,2,6,-8,10,6.4186,-0.515839387,1.379237288,-6.873890234
aging,3.06,2,4,-1,5,5.1824,-0.515839387,-0.620762712,0.126109766
ago,4.88,1,2,-1,3,5.896333333,-1.515839387,-2.620762712,0.126109766
agony,2.16,1,3,1,5,5.2824,-1.515839387,-1.620762712,2.126109766
agora,4.66,2,4,-3,5,6.3686,-0.515839387,-0.620762712,-1.873890234
agree,6.7,0,2,-5,5,8.3146,-2.515839387,-2.620762712,-3.873890234
agreed,6.98,0,2,-6,6,7.637666667,-2.515839387,-2.620762712,-4.873890234
agreement,6.32,4,6,-5,9,8.054,1.484160613,1.379237288,-3.873890234
agreements,6.2,4,7,-6,10,7.8813,1.484160613,2.379237288,-4.873890234
agricultural,6.38,7,10,-2,12,5.224416667,4.484160613,5.379237288,-0.873890234
agriculture,6.5,6,9,-3,11,5.745727273,3.484160613,4.379237288,-1.873890234
ah,5.4,1,1,0,2,7.1305,-1.515839387,-3.620762712,1.126109766
aha,6.18,2,2,-1,3,7.476,-0.515839387,-2.620762712,0.126109766
ahaha,6.56,4,4,-1,5,7.3378,1.484160613,-0.620762712,0.126109766
ahead,6.08,2,4,-3,5,7.8766,-0.515839387,-0.620762712,-1.873890234
ahh,5.38,1,1,1,3,6.785,-1.515839387,-3.620762712,2.126109766
ahhh,5.48,1,1,2,4,6.61225,-1.515839387,-3.620762712,3.126109766
ahhhh,5.78,1,1,3,5,6.5086,-1.515839387,-3.620762712,4.126109766
ahl,4.76,1,2,1,3,6.095333333,-1.515839387,-2.620762712,2.126109766
ahora,5.18,2,4,-1,5,7.1844,-0.515839387,-0.620762712,0.126109766
ai,4.98,1,1,0,2,7.5665,-1.515839387,-3.620762712,1.126109766
aid,6.24,2,2,-1,3,6.462,-0.515839387,-2.620762712,0.126109766
aide,5.56,2,2,-2,4,8.022,-0.515839387,-2.620762712,-0.873890234
aides,5.92,2,3,-3,5,7.683,-0.515839387,-1.620762712,-1.873890234
aids,4.28,2,3,-2,4,6.42825,-0.515839387,-1.620762712,-0.873890234
aight,4.96,4,4,-1,5,6.4596,1.484160613,-0.620762712,0.126109766
aim,5.86,1,2,1,3,5.846333333,-1.515839387,-2.620762712,2.126109766
aimed,5.52,2,3,-1,5,6.8988,-0.515839387,-1.620762712,0.126109766
aims,6.27,2,3,0,4,5.9665,-0.515839387,-1.620762712,1.126109766
ainda,4.92,2,4,-1,5,6.8604,-0.515839387,-0.620762712,0.126109766
aint,4.02,2,3,0,4,7.7345,-0.515839387,-1.620762712,1.126109766
air,6.8,2,2,-1,3,7.04,-0.515839387,-2.620762712,0.126109766
aircraft,6.02,2,6,-6,8,6.1675,-0.515839387,1.379237288,-4.873890234
aire,5.3,2,3,-2,4,8.4555,-0.515839387,-1.620762712,-0.873890234
airline,5.62,4,6,1,7,7.366,1.484160613,1.379237288,2.126109766
airlines,5.6,4,7,0,8,7.236125,1.484160613,2.379237288,1.126109766
