Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
sick,1.9,3,3,0,4,4.21175,0.482591876,-1.52417795,1.111218569
food,7.65,2,2,0,4,5.37375,-0.517408124,-2.52417795,1.111218569
gold,7.54,2,2,0,4,4.45,-0.517408124,-2.52417795,1.111218569
good,7.47,2,2,0,4,5.3205,-0.517408124,-2.52417795,1.111218569
song,7.1,2,3,0,4,5.6495,-0.517408124,-1.52417795,1.111218569
snow,7.08,2,3,0,4,5.73575,-0.517408124,-1.52417795,1.111218569
tune,6.93,2,2,0,4,7.81625,-0.517408124,-2.52417795,1.111218569
bold,6.8,2,2,0,4,4.31925,-0.517408124,-2.52417795,1.111218569
blue,6.76,2,3,0,4,5.24425,-0.517408124,-1.52417795,1.111218569
wine,5.95,2,3,0,4,7.19425,-0.517408124,-1.52417795,1.111218569
time,5.31,2,3,0,4,7.7825,-0.517408124,-1.52417795,1.111218569
door,5.13,2,2,0,4,6.3135,-0.517408124,-2.52417795,1.111218569
foot,5.02,2,2,0,4,6.5745,-0.517408124,-2.52417795,1.111218569
cold,4.02,2,2,0,4,4.64175,-0.517408124,-2.52417795,1.111218569
slow,3.93,2,2,0,4,5.05475,-0.517408124,-2.52417795,1.111218569
sour,3.93,2,3,0,4,5.64475,-0.517408124,-1.52417795,1.111218569
snob,3.36,2,3,0,4,5.51875,-0.517408124,-1.52417795,1.111218569
riot,2.96,2,3,0,4,7.379,-0.517408124,-1.52417795,1.111218569
tomb,2.94,2,3,0,4,5.11525,-0.517408124,-1.52417795,1.111218569
bomb,2.1,2,3,0,4,3.22425,-0.517408124,-1.52417795,1.111218569
wink,6.93,1,3,2,4,4.21175,-1.517408124,-1.52417795,3.111218569
silk,6.9,1,3,2,4,4.5225,-1.517408124,-1.52417795,3.111218569
cook,6.16,1,2,2,4,4.642,-1.517408124,-2.52417795,3.111218569
doll,6.09,1,1,2,4,4.9525,-1.517408124,-3.52417795,3.111218569
coin,6.02,1,3,2,4,6.001,-1.517408124,-1.52417795,3.111218569
book,5.72,1,2,2,4,4.3195,-1.517408124,-2.52417795,3.111218569
ship,5.55,1,3,2,4,5.329,-1.517408124,-1.52417795,3.111218569
chin,5.29,1,3,2,4,5.64775,-1.517408124,-1.52417795,3.111218569
tool,5.19,1,1,2,4,7.02375,-1.517408124,-3.52417795,3.111218569
dump,3.21,1,2,2,4,2.8365,-1.517408124,-2.52417795,3.111218569
foul,2.81,1,3,2,4,4.1295,-1.517408124,-1.52417795,3.111218569
slum,2.39,1,2,2,4,3.879,-1.517408124,-2.52417795,3.111218569
idea,7,1,2,-2,4,8.022,-1.517408124,-2.52417795,-0.888781431
news,5.3,1,2,-2,4,7.0345,-1.517408124,-2.52417795,-0.888781431
hard,5.22,1,3,-2,4,6.12525,-1.517408124,-1.52417795,-0.888781431
part,5.11,1,2,-2,4,6.28475,-1.517408124,-2.52417795,-0.888781431
pest,3.13,1,3,-2,4,7.5035,-1.517408124,-1.52417795,-0.888781431
hate,2.12,1,3,-2,4,9.00475,-1.517408124,-1.52417795,-0.888781431
heal,7.09,2,3,0,4,7.747,-0.517408124,-1.52417795,1.111218569
hawk,5.88,2,3,0,4,4.34825,-0.517408124,-1.52417795,1.111218569
