Word,Valence,LR_switch,finger_switch,rha,word_length,letter_freq
cocky,-2,3,4,1,5,3.1634
enemy,-2,3,3,1,5,7.3066
shaky,-2,3,4,1,5,4.6668
thank,2,3,4,1,5,6.1676
block,-1,3,3,1,5,3.3156
empty,-1,3,4,1,5,5.6134
glory,2,3,3,1,5,4.3016
shock,-2,3,4,1,5,4.6964
slick,2,3,4,1,5,4.1744
allow,1,2,2,1,5,5.2168
alone,-2,2,3,1,5,7.83
blind,-1,2,4,1,5,4.697
choke,-2,2,4,1,5,5.9714
cynic,-2,2,3,1,5,4.2506
dumps,-1,2,3,1,5,3.5346
flops,-2,2,3,1,5,4.4032
fools,-2,2,2,1,5,5.5188
guilt,-3,2,4,1,5,4.964
ruins,-2,2,4,1,5,5.7574
shoot,-1,2,3,1,5,7.2982
smile,2,2,4,1,5,6.4852
solid,2,2,3,1,5,5.8156
suing,-2,2,4,1,5,4.963
timid,-2,2,4,1,5,5.9294
tumor,-2,2,3,1,5,5.5428
annoy,-2,1,3,3,5,6.2292
bully,-2,1,3,3,5,2.8548
enjoy,2,1,3,3,5,5.817
ennui,-2,1,2,3,5,7.1848
funky,2,1,3,3,5,2.8962
funny,4,1,1,3,5,4.0916
gloom,-1,1,2,3,5,4.692
silly,-1,1,3,3,5,4.6634
sulky,-2,1,4,3,5,3.1712
itchy,-2,2,3,1,5,5.3744
madly,-3,2,4,1,5,4.165
peril,-2,2,4,1,5,6.3218
pesky,-2,2,4,1,5,4.7408
prblm,-2,2,3,1,5,3.1678
naive,-2,3,4,-1,5,7.1124
laugh,1,4,4,1,5,4.6118
prick,-5,4,4,1,5,3.6872
haunt,-1,3,3,1,5,6.5648
helps,2,3,4,1,5,6.2154
idiot,-3,3,4,1,5,6.9496
panic,-3,3,4,1,5,5.3186
proud,2,3,4,1,5,4.4868
happy,3,2,3,3,5,4.0186
irony,-1,2,3,3,5,5.8366
lmfao,4,2,4,1,5,4.8666
lobby,-2,2,2,1,5,3.298
mirth,3,2,3,1,5,6.1018
nifty,2,2,3,1,5,5.3946
nosey,-2,2,4,1,5,7.0518
novel,2,2,4,1,5,6.3922
kudos,3,3,4,1,5,4.3234
livid,-2,3,4,1,5,4.6376
lurks,-1,3,4,1,5,3.9738
moans,-2,3,4,1,5,6.2312
mocks,-2,3,4,1,5,3.9588
noble,2,3,4,1,5,6.495
pique,-2,3,4,1,5,4.89
lucky,3,2,4,3,5,2.4622
moron,-3,2,4,3,5,6.0312
pushy,-1,2,3,3,5,3.8164
yucky,-2,2,3,3,5,2.052
hopes,2,1,4,1,5,6.9118
jokes,2,1,4,1,5,5.4922
liked,2,1,2,1,5,5.7436
likes,2,1,3,1,5,6.1584
loose,-3,1,2,1,5,7.6136
loyal,3,2,3,3,5,5.1396
moody,-1,2,3,3,5,4.7294
mourn,-2,2,4,3,5,5.0814
noisy,-1,2,4,3,5,5.9046
honor,2,1,4,3,5,6.7688
humor,2,1,2,3,5,4.9504
kills,-3,1,2,3,5,4.423
looms,-1,1,2,3,5,5.5544
crash,-2,1,4,-3,5,5.8714
crazy,-2,1,3,-3,5,3.7968
death,-2,1,3,-3,5,8.0544
dream,1,1,4,-3,5,6.703
fresh,1,1,3,-3,5,6.6676
reach,1,1,4,-3,5,7.1464
scary,-2,1,4,-3,5,5.0474
steal,-2,1,4,-3,5,8.0554
weary,-2,1,4,-3,5,6.238
wreck,-2,1,3,-3,5,4.9206
await,-1,2,4,-3,5,6.9432
backs,1,2,4,-3,5,3.908
eerie,-2,2,3,-3,5,10.2118
