word,valence,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
astounded,1.1,2,5,-3,9,6.863555556,-0.722222222,-0.152777778,0.159722222
venerated,-0.6,2,7,-7,9,8.144,-0.722222222,1.847222222,-3.840277778
exhausted,-1.6,4,7,-5,9,6.912111111,1.277777778,1.847222222,-1.840277778
cautioned,-0.8,4,7,-1,9,6.771111111,1.277777778,1.847222222,2.159722222
delighted,2.5,4,6,-3,9,6.896222222,1.277777778,0.847222222,0.159722222
denounced,-1.5,2,4,-1,9,6.717222222,-0.722222222,-1.152777778,2.159722222
corrected,0.9,2,5,-7,9,7.084222222,-0.722222222,-0.152777778,-3.840277778
flattered,1.7,2,6,-7,9,7.575111111,-0.722222222,0.847222222,-3.840277778
chastened,-0.6,4,7,-5,9,7.648,1.277777778,1.847222222,-1.840277778
gladdened,1.6,4,5,-5,9,6.568777778,1.277777778,-0.152777778,-1.840277778
chastized,-1.5,4,7,-5,9,6.269,1.277777778,1.847222222,-1.840277778
entranced,0.6,4,5,-5,9,7.683,1.277777778,-0.152777778,-1.840277778
disdained,-2.1,4,7,-3,9,6.737333333,1.277777778,1.847222222,0.159722222
cherished,2.4,6,7,-3,9,7.100777778,3.277777778,1.847222222,0.159722222
corrupted,-2.6,4,6,-3,9,5.884555556,1.277777778,0.847222222,0.159722222
slandered,-2.6,4,6,-5,9,7.240555556,1.277777778,0.847222222,-1.840277778
disobeyed,-1.4,6,7,-3,9,6.464,3.277777778,1.847222222,0.159722222
surprised,0.7,6,7,-3,9,5.915111111,3.277777778,1.847222222,0.159722222
tormented,-2.7,6,7,-3,9,7.824222222,3.277777778,1.847222222,0.159722222
ridiculed,-2.6,6,7,-1,9,5.632444444,3.277777778,1.847222222,2.159722222
tolerated,-1.1,2,6,-5,9,8.161666667,-0.722222222,0.847222222,-1.840277778
concerned,-1,4,6,-3,9,6.912555556,1.277777778,0.847222222,0.159722222
condemned,-1.8,4,5,-1,9,6.678111111,1.277777778,-0.152777778,2.159722222
alienated,-1.9,4,7,-3,9,8.087444444,1.277777778,1.847222222,0.159722222
comforted,2.4,4,6,-3,9,6.047555556,1.277777778,0.847222222,0.159722222
consulted,0.4,4,7,-1,9,6.239888889,1.277777778,1.847222222,2.159722222
counseled,0.4,4,6,-1,9,6.645,1.277777778,0.847222222,2.159722222
enlivened,1.2,4,7,-1,9,7.536222222,1.277777778,1.847222222,2.159722222
applauded,1.8,4,5,-1,9,5.353666667,1.277777778,-0.152777778,2.159722222
commended,1.6,4,5,-1,9,6.195555556,1.277777778,-0.152777778,2.159722222
dominated,-1.4,2,7,-1,9,6.895444444,-0.722222222,1.847222222,2.159722222
supported,1.9,2,5,-1,9,5.827555556,-0.722222222,-0.152777778,2.159722222
irritated,-2.1,3,6,-5,9,7.682222222,0.277777778,0.847222222,-1.840277778
protected,1.7,3,6,-5,9,7.330444444,0.277777778,0.847222222,-1.840277778
penalized,-2,5,7,-1,9,6.396333333,2.277777778,1.847222222,2.159722222
unsettled,-1.7,3,5,-3,9,7.514222222,0.277777778,-0.152777778,0.159722222
intrigued,1.5,5,6,-1,9,6.383555556,2.277777778,0.847222222,2.159722222
jollified,1.1,3,5,3,9,5.425,0.277777778,-0.152777778,6.159722222
mollified,-0.2,3,5,3,9,5.675333333,0.277777778,-0.152777778,6.159722222
aggravated,-2.1,0,6,-10,10,6.1507,-2.722222222,0.847222222,-6.840277778
castigated,-1.4,2,8,-8,10,6.9491,-0.722222222,2.847222222,-4.840277778
fascinated,1.6,2,8,-6,10,6.7397,-0.722222222,2.847222222,-2.840277778
bewildered,-0.6,2,7,-6,10,6.7442,-0.722222222,1.847222222,-2.840277778
astonished,0.8,4,8,-2,10,7.4148,1.277777778,2.847222222,1.159722222
celebrated,2.7,2,6,-8,10,7.3868,-0.722222222,0.847222222,-4.840277778
deprecated,-1.6,2,6,-8,10,7.4533,-0.722222222,0.847222222,-4.840277778
frustrated,-1.8,2,6,-8,10,6.6521,-0.722222222,0.847222222,-4.840277778
tantalized,0.2,4,8,-4,10,6.9215,1.277777778,2.847222222,-0.840277778
captivated,0.4,4,8,-6,10,6.4056,1.277777778,2.847222222,-2.840277778
frightened,-1.9,6,7,-4,10,6.8752,3.277777778,1.847222222,-0.840277778
reproached,-1.2,6,8,-4,10,6.811,3.277777778,2.847222222,-0.840277778
criticized,-2.1,6,8,-4,10,5.8534,3.277777778,2.847222222,-0.840277778
telephoned,0.2,4,8,0,10,7.7719,1.277777778,2.847222222,3.159722222
denigrated,-1.1,2,6,-6,10,7.285,-0.722222222,0.847222222,-2.840277778
stimulated,1.1,2,7,-2,10,6.5716,-0.722222222,1.847222222,1.159722222
admonished,-0.4,4,8,0,10,6.5424,1.277777778,2.847222222,3.159722222
distracted,-1.1,2,7,-8,10,6.9549,-0.722222222,1.847222222,-4.840277778
distressed,-2.6,2,6,-8,10,7.49,-0.722222222,0.847222222,-4.840277778
distrusted,-2.1,4,7,-6,10,6.7685,1.277777778,1.847222222,-2.840277778
questioned,-0.1,4,8,-2,10,6.9115,1.277777778,2.847222222,1.159722222
victimized,-2.6,4,8,-2,10,5.3149,1.277777778,2.847222222,1.159722222
worshipped,1.2,4,7,0,10,5.6054,1.277777778,1.847222222,3.159722222
disparaged,-1.5,4,8,-6,10,6.0766,1.277777778,2.847222222,-2.840277778
enthralled,0.9,6,7,-2,10,7.376,3.277777778,1.847222222,1.159722222
encouraged,2.3,4,8,-4,10,6.5622,1.277777778,2.847222222,-0.840277778
approached,0.7,6,7,-2,10,5.9517,3.277777778,1.847222222,1.159722222
confounded,-0.7,4,6,0,10,5.7488,1.277777778,0.847222222,3.159722222
persecuted,-2.7,3,7,-6,10,7.1198,0.277777778,1.847222222,-2.840277778
mesmerised,1.3,5,8,-4,10,7.2778,2.277777778,2.847222222,-0.840277778
prosecuted,-2.6,5,7,-4,10,6.6003,2.277777778,1.847222222,-0.840277778
instructed,0.3,3,7,-4,10,6.6636,0.277777778,1.847222222,-0.840277778
infuriated,-2.5,5,8,-2,10,6.5832,2.277777778,2.847222222,1.159722222
exasperated,-1.6,2,9,-9,11,7.467454545,-0.722222222,3.847222222,-5.840277778
revitalized,2.3,4,9,-5,11,6.534181818,1.277777778,3.847222222,-1.840277778
recompensed,0.5,4,8,-3,11,6.913272727,1.277777778,2.847222222,0.159722222
accompanied,0.9,4,8,-1,11,5.855454545,1.277777778,2.847222222,2.159722222
reprimanded,-1.6,6,8,-3,11,6.554636364,3.277777778,2.847222222,0.159722222
exhilarated,1.6,2,9,-5,11,7.115363636,-0.722222222,3.847222222,-1.840277778
remunerated,0.2,2,7,-5,11,7.588090909,-0.722222222,1.847222222,-1.840277778
disgruntled,-1.5,6,7,-3,11,5.917363636,3.277777778,1.847222222,0.159722222
antagonized,-1.4,4,9,-3,11,6.582272727,1.277777778,3.847222222,0.159722222
discouraged,-1.5,4,9,-5,11,5.792454545,1.277777778,3.847222222,-1.840277778
appreciated,2.5,4,7,-5,11,6.785454545,1.277777778,1.847222222,-1.840277778
dumbfounded,-1,4,5,-1,11,4.669,1.277777778,-0.152777778,2.159722222
compensated,0.8,4,9,-3,11,6.78,1.277777778,3.847222222,0.159722222
enlightened,1,6,9,-1,11,7.637545455,3.277777778,3.847222222,2.159722222
interrupted,-1.6,3,8,-3,11,7.104090909,0.277777778,2.847222222,0.159722222
invigorated,1.7,5,9,-3,11,6.486,2.277777778,3.847222222,0.159722222
intimidated,-1.8,3,9,-1,11,7.049090909,0.277777778,3.847222222,2.159722222
disappointed,-2,4,9,0,12,6.400333333,1.277777778,3.847222222,3.159722222
complemented,1.8,6,10,0,12,6.601583333,3.277777778,4.847222222,3.159722222
complimented,2.4,4,10,2,12,6.123583333,1.277777778,4.847222222,5.159722222
flabbergasted,-0.3,2,9,-11,13,6.047153846,-0.722222222,3.847222222,-7.840277778
congratulated,1.8,4,10,-5,13,6.401846154,1.277777778,4.847222222,-1.840277778
